YEAR,STATE,STATE ANSI,COMMODITY,DATA ITEM,METRIC,VALUE
2022,ALABAMA,1,WHEAT, ACRES HARVESTED,ACRE,120000
2022,ALABAMA,1,WHEAT, ACRES PLANTED,ACRE,180000
2022,ALABAMA,1,WHEAT, YIELD, MEASURED IN BU / ACRE,72
2022,ARIZONA,4,WHEAT, ACRES HARVESTED,ACRE,84000
2022,ARIZONA,4,WHEAT, ACRES PLANTED,ACRE,85000
2022,ARIZONA,4,WHEAT, YIELD, MEASURED IN BU / ACRE,114
2022,ARKANSAS,5,WHEAT, ACRES HARVESTED,ACRE,150000
2022,ARKANSAS,5,WHEAT, ACRES PLANTED,ACRE,220000
2022,ARKANSAS,5,WHEAT, YIELD, MEASURED IN BU / ACRE,53
2022,CALIFORNIA,6,WHEAT, ACRES HARVESTED,ACRE,105000
2022,CALIFORNIA,6,WHEAT, ACRES PLANTED,ACRE,390000
2022,CALIFORNIA,6,WHEAT, YIELD, MEASURED IN BU / ACRE,85.3
2022,COLORADO,8,WHEAT, ACRES HARVESTED,ACRE,1430000
2022,COLORADO,8,WHEAT, ACRES PLANTED,ACRE,1950000
2022,COLORADO,8,WHEAT, YIELD, MEASURED IN BU / ACRE,25
2022,DELAWARE,10,WHEAT, ACRES HARVESTED,ACRE,54000
2022,DELAWARE,10,WHEAT, ACRES PLANTED,ACRE,80000
2022,DELAWARE,10,WHEAT, YIELD, MEASURED IN BU / ACRE,76
2022,GEORGIA,13,WHEAT, ACRES HARVESTED,ACRE,100000
2022,GEORGIA,13,WHEAT, ACRES PLANTED,ACRE,200000
2022,GEORGIA,13,WHEAT, YIELD, MEASURED IN BU / ACRE,58
2022,IDAHO,16,WHEAT, ACRES HARVESTED,ACRE,1077000
2022,IDAHO,16,WHEAT, ACRES PLANTED,ACRE,1157000
2022,IDAHO,16,WHEAT, YIELD, MEASURED IN BU / ACRE,86.8
2022,ILLINOIS,17,WHEAT, ACRES HARVESTED,ACRE,560000
2022,ILLINOIS,17,WHEAT, ACRES PLANTED,ACRE,650000
2022,ILLINOIS,17,WHEAT, YIELD, MEASURED IN BU / ACRE,79
2022,INDIANA,18,WHEAT, ACRES HARVESTED,ACRE,240000
2022,INDIANA,18,WHEAT, ACRES PLANTED,ACRE,290000
2022,INDIANA,18,WHEAT, YIELD, MEASURED IN BU / ACRE,81
2022,KANSAS,20,WHEAT, ACRES HARVESTED,ACRE,6600000
2022,KANSAS,20,WHEAT, ACRES PLANTED,ACRE,7300000
2022,KANSAS,20,WHEAT, YIELD, MEASURED IN BU / ACRE,37
2022,KENTUCKY,21,WHEAT, ACRES HARVESTED,ACRE,375000
2022,KENTUCKY,21,WHEAT, ACRES PLANTED,ACRE,530000
2022,KENTUCKY,21,WHEAT, YIELD, MEASURED IN BU / ACRE,80
2022,MARYLAND,24,WHEAT, ACRES HARVESTED,ACRE,170000
2022,MARYLAND,24,WHEAT, ACRES PLANTED,ACRE,355000
2022,MARYLAND,24,WHEAT, YIELD, MEASURED IN BU / ACRE,78
2022,MICHIGAN,26,WHEAT, ACRES HARVESTED,ACRE,415000
2022,MICHIGAN,26,WHEAT, ACRES PLANTED,ACRE,460000
2022,MICHIGAN,26,WHEAT, YIELD, MEASURED IN BU / ACRE,83
2022,MINNESOTA,27,WHEAT, ACRES HARVESTED,ACRE,1210000
2022,MINNESOTA,27,WHEAT, ACRES PLANTED,ACRE,1250000
2022,MINNESOTA,27,WHEAT, YIELD, MEASURED IN BU / ACRE,61
2022,MISSISSIPPI,28,WHEAT, ACRES HARVESTED,ACRE,75000
2022,MISSISSIPPI,28,WHEAT, ACRES PLANTED,ACRE,100000
2022,MISSISSIPPI,28,WHEAT, YIELD, MEASURED IN BU / ACRE,52
2022,MISSOURI,29,WHEAT, ACRES HARVESTED,ACRE,410000
2022,MISSOURI,29,WHEAT, ACRES PLANTED,ACRE,630000
2022,MISSOURI,29,WHEAT, YIELD, MEASURED IN BU / ACRE,60
2022,MONTANA,30,WHEAT, ACRES HARVESTED,ACRE,4915000
2022,MONTANA,30,WHEAT, ACRES PLANTED,ACRE,5460000
2022,MONTANA,30,WHEAT, YIELD, MEASURED IN BU / ACRE,28.3
2022,NEBRASKA,31,WHEAT, ACRES HARVESTED,ACRE,820000
2022,NEBRASKA,31,WHEAT, ACRES PLANTED,ACRE,980000
2022,NEBRASKA,31,WHEAT, YIELD, MEASURED IN BU / ACRE,32
2022,NEW JERSEY,34,WHEAT, ACRES HARVESTED,ACRE,22000
2022,NEW JERSEY,34,WHEAT, ACRES PLANTED,ACRE,26000
2022,NEW JERSEY,34,WHEAT, YIELD, MEASURED IN BU / ACRE,70
2022,NEW MEXICO,35,WHEAT, ACRES HARVESTED,ACRE,90000
2022,NEW MEXICO,35,WHEAT, ACRES PLANTED,ACRE,360000
2022,NEW MEXICO,35,WHEAT, YIELD, MEASURED IN BU / ACRE,17
2022,NEW YORK,36,WHEAT, ACRES HARVESTED,ACRE,100000
2022,NEW YORK,36,WHEAT, ACRES PLANTED,ACRE,140000
2022,NEW YORK,36,WHEAT, YIELD, MEASURED IN BU / ACRE,72
2022,NORTH CAROLINA,37,WHEAT, ACRES HARVESTED,ACRE,375000
2022,NORTH CAROLINA,37,WHEAT, ACRES PLANTED,ACRE,480000
2022,NORTH CAROLINA,37,WHEAT, YIELD, MEASURED IN BU / ACRE,64
2022,NORTH DAKOTA,38,WHEAT, ACRES HARVESTED,ACRE,6135000
2022,NORTH DAKOTA,38,WHEAT, ACRES PLANTED,ACRE,6195000
2022,NORTH DAKOTA,38,WHEAT, YIELD, MEASURED IN BU / ACRE,48.9
2022,OHIO,39,WHEAT, ACRES HARVESTED,ACRE,465000
2022,OHIO,39,WHEAT, ACRES PLANTED,ACRE,510000
2022,OHIO,39,WHEAT, YIELD, MEASURED IN BU / ACRE,79
2022,OKLAHOMA,40,WHEAT, ACRES HARVESTED,ACRE,2450000
2022,OKLAHOMA,40,WHEAT, ACRES PLANTED,ACRE,4300000
2022,OKLAHOMA,40,WHEAT, YIELD, MEASURED IN BU / ACRE,28
2022,OREGON,41,WHEAT, ACRES HARVESTED,ACRE,715000
2022,OREGON,41,WHEAT, ACRES PLANTED,ACRE,730000
2022,OREGON,41,WHEAT, YIELD, MEASURED IN BU / ACRE,68
2022,PENNSYLVANIA,42,WHEAT, ACRES HARVESTED,ACRE,210000
2022,PENNSYLVANIA,42,WHEAT, ACRES PLANTED,ACRE,270000
2022,PENNSYLVANIA,42,WHEAT, YIELD, MEASURED IN BU / ACRE,73
2022,SOUTH CAROLINA,45,WHEAT, ACRES HARVESTED,ACRE,100000
2022,SOUTH CAROLINA,45,WHEAT, ACRES PLANTED,ACRE,120000
2022,SOUTH CAROLINA,45,WHEAT, YIELD, MEASURED IN BU / ACRE,57
2022,SOUTH DAKOTA,46,WHEAT, ACRES HARVESTED,ACRE,1440000
2022,SOUTH DAKOTA,46,WHEAT, ACRES PLANTED,ACRE,1580000
2022,SOUTH DAKOTA,46,WHEAT, YIELD, MEASURED IN BU / ACRE,50
2022,TENNESSEE,47,WHEAT, ACRES HARVESTED,ACRE,335000
2022,TENNESSEE,47,WHEAT, ACRES PLANTED,ACRE,410000
2022,TENNESSEE,47,WHEAT, YIELD, MEASURED IN BU / ACRE,73
2022,TEXAS,48,WHEAT, ACRES HARVESTED,ACRE,1300000
2022,TEXAS,48,WHEAT, ACRES PLANTED,ACRE,5300000
2022,TEXAS,48,WHEAT, YIELD, MEASURED IN BU / ACRE,30
2022,UTAH,49,WHEAT, ACRES HARVESTED,ACRE,88000
2022,UTAH,49,WHEAT, ACRES PLANTED,ACRE,110000
2022,UTAH,49,WHEAT, YIELD, MEASURED IN BU / ACRE,36
2022,VIRGINIA,51,WHEAT, ACRES HARVESTED,ACRE,150000
2022,VIRGINIA,51,WHEAT, ACRES PLANTED,ACRE,230000
2022,VIRGINIA,51,WHEAT, YIELD, MEASURED IN BU / ACRE,68
2022,WASHINGTON,53,WHEAT, ACRES HARVESTED,ACRE,2270000
2022,WASHINGTON,53,WHEAT, ACRES PLANTED,ACRE,2325000
2022,WASHINGTON,53,WHEAT, YIELD, MEASURED IN BU / ACRE,63.4
2022,WISCONSIN,55,WHEAT, ACRES HARVESTED,ACRE,235000
2022,WISCONSIN,55,WHEAT, ACRES PLANTED,ACRE,300000
2022,WISCONSIN,55,WHEAT, YIELD, MEASURED IN BU / ACRE,78
2022,WYOMING,56,WHEAT, ACRES HARVESTED,ACRE,95000
2022,WYOMING,56,WHEAT, ACRES PLANTED,ACRE,115000
2022,WYOMING,56,WHEAT, YIELD, MEASURED IN BU / ACRE,17
2021,ALABAMA,1,WHEAT, ACRES HARVESTED,ACRE,110000
2021,ALABAMA,1,WHEAT, ACRES PLANTED,ACRE,175000
2021,ALABAMA,1,WHEAT, YIELD, MEASURED IN BU / ACRE,83
2021,ARIZONA,4,WHEAT, ACRES HARVESTED,ACRE,59000
2021,ARIZONA,4,WHEAT, ACRES PLANTED,ACRE,60000
2021,ARIZONA,4,WHEAT, YIELD, MEASURED IN BU / ACRE,90
2021,ARKANSAS,5,WHEAT, ACRES HARVESTED,ACRE,145000
2021,ARKANSAS,5,WHEAT, ACRES PLANTED,ACRE,210000
2021,ARKANSAS,5,WHEAT, YIELD, MEASURED IN BU / ACRE,58
2021,CALIFORNIA,6,WHEAT, ACRES HARVESTED,ACRE,110000
2021,CALIFORNIA,6,WHEAT, ACRES PLANTED,ACRE,385000
2021,CALIFORNIA,6,WHEAT, YIELD, MEASURED IN BU / ACRE,87.1
2021,COLORADO,8,WHEAT, ACRES HARVESTED,ACRE,1880000
2021,COLORADO,8,WHEAT, ACRES PLANTED,ACRE,2200000
2021,COLORADO,8,WHEAT, YIELD, MEASURED IN BU / ACRE,37
2021,DELAWARE,10,WHEAT, ACRES HARVESTED,ACRE,35000
2021,DELAWARE,10,WHEAT, ACRES PLANTED,ACRE,60000
2021,DELAWARE,10,WHEAT, YIELD, MEASURED IN BU / ACRE,70
2021,GEORGIA,13,WHEAT, ACRES HARVESTED,ACRE,110000
2021,GEORGIA,13,WHEAT, ACRES PLANTED,ACRE,220000
2021,GEORGIA,13,WHEAT, YIELD, MEASURED IN BU / ACRE,56
2021,IDAHO,16,WHEAT, ACRES HARVESTED,ACRE,1132000
2021,IDAHO,16,WHEAT, ACRES PLANTED,ACRE,1227000
2021,IDAHO,16,WHEAT, YIELD, MEASURED IN BU / ACRE,67.6
2021,ILLINOIS,17,WHEAT, ACRES HARVESTED,ACRE,610000
2021,ILLINOIS,17,WHEAT, ACRES PLANTED,ACRE,670000
2021,ILLINOIS,17,WHEAT, YIELD, MEASURED IN BU / ACRE,79
2021,INDIANA,18,WHEAT, ACRES HARVESTED,ACRE,270000
2021,INDIANA,18,WHEAT, ACRES PLANTED,ACRE,340000
2021,INDIANA,18,WHEAT, YIELD, MEASURED IN BU / ACRE,85
2021,KANSAS,20,WHEAT, ACRES HARVESTED,ACRE,7000000
2021,KANSAS,20,WHEAT, ACRES PLANTED,ACRE,7300000
2021,KANSAS,20,WHEAT, YIELD, MEASURED IN BU / ACRE,52
2021,KENTUCKY,21,WHEAT, ACRES HARVESTED,ACRE,350000
2021,KENTUCKY,21,WHEAT, ACRES PLANTED,ACRE,510000
2021,KENTUCKY,21,WHEAT, YIELD, MEASURED IN BU / ACRE,87
2021,MARYLAND,24,WHEAT, ACRES HARVESTED,ACRE,160000
2021,MARYLAND,24,WHEAT, ACRES PLANTED,ACRE,345000
2021,MARYLAND,24,WHEAT, YIELD, MEASURED IN BU / ACRE,79
2021,MICHIGAN,26,WHEAT, ACRES HARVESTED,ACRE,560000
2021,MICHIGAN,26,WHEAT, ACRES PLANTED,ACRE,610000
2021,MICHIGAN,26,WHEAT, YIELD, MEASURED IN BU / ACRE,81
2021,MINNESOTA,27,WHEAT, ACRES HARVESTED,ACRE,1160000
2021,MINNESOTA,27,WHEAT, ACRES PLANTED,ACRE,1210000
2021,MINNESOTA,27,WHEAT, YIELD, MEASURED IN BU / ACRE,48
2021,MISSISSIPPI,28,WHEAT, ACRES HARVESTED,ACRE,70000
2021,MISSISSIPPI,28,WHEAT, ACRES PLANTED,ACRE,95000
2021,MISSISSIPPI,28,WHEAT, YIELD, MEASURED IN BU / ACRE,59
2021,MISSOURI,29,WHEAT, ACRES HARVESTED,ACRE,490000
2021,MISSOURI,29,WHEAT, ACRES PLANTED,ACRE,640000
2021,MISSOURI,29,WHEAT, YIELD, MEASURED IN BU / ACRE,65
2021,MONTANA,30,WHEAT, ACRES HARVESTED,ACRE,4530000
2021,MONTANA,30,WHEAT, ACRES PLANTED,ACRE,5520000
2021,MONTANA,30,WHEAT, YIELD, MEASURED IN BU / ACRE,22.2
2021,NEBRASKA,31,WHEAT, ACRES HARVESTED,ACRE,840000
2021,NEBRASKA,31,WHEAT, ACRES PLANTED,ACRE,920000
2021,NEBRASKA,31,WHEAT, YIELD, MEASURED IN BU / ACRE,49
2021,NEW JERSEY,34,WHEAT, ACRES HARVESTED,ACRE,16000
2021,NEW JERSEY,34,WHEAT, ACRES PLANTED,ACRE,23000
2021,NEW JERSEY,34,WHEAT, YIELD, MEASURED IN BU / ACRE,67
2021,NEW MEXICO,35,WHEAT, ACRES HARVESTED,ACRE,80000
2021,NEW MEXICO,35,WHEAT, ACRES PLANTED,ACRE,380000
2021,NEW MEXICO,35,WHEAT, YIELD, MEASURED IN BU / ACRE,36
2021,NEW YORK,36,WHEAT, ACRES HARVESTED,ACRE,125000
2021,NEW YORK,36,WHEAT, ACRES PLANTED,ACRE,155000
2021,NEW YORK,36,WHEAT, YIELD, MEASURED IN BU / ACRE,77
2021,NORTH CAROLINA,37,WHEAT, ACRES HARVESTED,ACRE,345000
2021,NORTH CAROLINA,37,WHEAT, ACRES PLANTED,ACRE,450000
2021,NORTH CAROLINA,37,WHEAT, YIELD, MEASURED IN BU / ACRE,56
2021,NORTH DAKOTA,38,WHEAT, ACRES HARVESTED,ACRE,6090000
2021,NORTH DAKOTA,38,WHEAT, ACRES PLANTED,ACRE,6470000
2021,NORTH DAKOTA,38,WHEAT, YIELD, MEASURED IN BU / ACRE,32.2
2021,OHIO,39,WHEAT, ACRES HARVESTED,ACRE,515000
2021,OHIO,39,WHEAT, ACRES PLANTED,ACRE,580000
2021,OHIO,39,WHEAT, YIELD, MEASURED IN BU / ACRE,85
2021,OKLAHOMA,40,WHEAT, ACRES HARVESTED,ACRE,2950000
2021,OKLAHOMA,40,WHEAT, ACRES PLANTED,ACRE,4400000
2021,OKLAHOMA,40,WHEAT, YIELD, MEASURED IN BU / ACRE,39
2021,OREGON,41,WHEAT, ACRES HARVESTED,ACRE,705000
2021,OREGON,41,WHEAT, ACRES PLANTED,ACRE,720000
2021,OREGON,41,WHEAT, YIELD, MEASURED IN BU / ACRE,45
2021,PENNSYLVANIA,42,WHEAT, ACRES HARVESTED,ACRE,195000
2021,PENNSYLVANIA,42,WHEAT, ACRES PLANTED,ACRE,270000
2021,PENNSYLVANIA,42,WHEAT, YIELD, MEASURED IN BU / ACRE,77
2021,SOUTH CAROLINA,45,WHEAT, ACRES HARVESTED,ACRE,100000
2021,SOUTH CAROLINA,45,WHEAT, ACRES PLANTED,ACRE,125000
2021,SOUTH CAROLINA,45,WHEAT, YIELD, MEASURED IN BU / ACRE,53
2021,SOUTH DAKOTA,46,WHEAT, ACRES HARVESTED,ACRE,1290000
2021,SOUTH DAKOTA,46,WHEAT, ACRES PLANTED,ACRE,1520000
2021,SOUTH DAKOTA,46,WHEAT, YIELD, MEASURED IN BU / ACRE,34
2021,TENNESSEE,47,WHEAT, ACRES HARVESTED,ACRE,330000
2021,TENNESSEE,47,WHEAT, ACRES PLANTED,ACRE,400000
2021,TENNESSEE,47,WHEAT, YIELD, MEASURED IN BU / ACRE,71
2021,TEXAS,48,WHEAT, ACRES HARVESTED,ACRE,2000000
2021,TEXAS,48,WHEAT, ACRES PLANTED,ACRE,5500000
2021,TEXAS,48,WHEAT, YIELD, MEASURED IN BU / ACRE,37
2021,UTAH,49,WHEAT, ACRES HARVESTED,ACRE,93000
2021,UTAH,49,WHEAT, ACRES PLANTED,ACRE,110000
2021,UTAH,49,WHEAT, YIELD, MEASURED IN BU / ACRE,46
2021,VIRGINIA,51,WHEAT, ACRES HARVESTED,ACRE,120000
2021,VIRGINIA,51,WHEAT, ACRES PLANTED,ACRE,205000
2021,VIRGINIA,51,WHEAT, YIELD, MEASURED IN BU / ACRE,67
2021,WASHINGTON,53,WHEAT, ACRES HARVESTED,ACRE,2230000
2021,WASHINGTON,53,WHEAT, ACRES PLANTED,ACRE,2330000
2021,WASHINGTON,53,WHEAT, YIELD, MEASURED IN BU / ACRE,39.1
2021,WISCONSIN,55,WHEAT, ACRES HARVESTED,ACRE,245000
2021,WISCONSIN,55,WHEAT, ACRES PLANTED,ACRE,290000
2021,WISCONSIN,55,WHEAT, YIELD, MEASURED IN BU / ACRE,75
2021,WYOMING,56,WHEAT, ACRES HARVESTED,ACRE,95000
2021,WYOMING,56,WHEAT, ACRES PLANTED,ACRE,115000
2021,WYOMING,56,WHEAT, YIELD, MEASURED IN BU / ACRE,32
2020,ALABAMA,1,WHEAT, ACRES HARVESTED,ACRE,70000
2020,ALABAMA,1,WHEAT, ACRES PLANTED,ACRE,135000
2020,ALABAMA,1,WHEAT, YIELD, MEASURED IN BU / ACRE,72
2020,ARIZONA,4,WHEAT, ACRES HARVESTED,ACRE,49000
2020,ARIZONA,4,WHEAT, ACRES PLANTED,ACRE,50000
2020,ARIZONA,4,WHEAT, YIELD, MEASURED IN BU / ACRE,99
2020,ARKANSAS,5,WHEAT, ACRES HARVESTED,ACRE,75000
2020,ARKANSAS,5,WHEAT, ACRES PLANTED,ACRE,145000
2020,ARKANSAS,5,WHEAT, YIELD, MEASURED IN BU / ACRE,55
2020,CALIFORNIA,6,WHEAT, ACRES HARVESTED,ACRE,102000
2020,CALIFORNIA,6,WHEAT, ACRES PLANTED,ACRE,410000
2020,CALIFORNIA,6,WHEAT, YIELD, MEASURED IN BU / ACRE,77
2020,COLORADO,8,WHEAT, ACRES HARVESTED,ACRE,1520000
2020,COLORADO,8,WHEAT, ACRES PLANTED,ACRE,1900000
2020,COLORADO,8,WHEAT, YIELD, MEASURED IN BU / ACRE,27
2020,DELAWARE,10,WHEAT, ACRES HARVESTED,ACRE,55000
2020,DELAWARE,10,WHEAT, ACRES PLANTED,ACRE,75000
2020,DELAWARE,10,WHEAT, YIELD, MEASURED IN BU / ACRE,73
2020,GEORGIA,13,WHEAT, ACRES HARVESTED,ACRE,85000
2020,GEORGIA,13,WHEAT, ACRES PLANTED,ACRE,190000
2020,GEORGIA,13,WHEAT, YIELD, MEASURED IN BU / ACRE,55
2020,IDAHO,16,WHEAT, ACRES HARVESTED,ACRE,1164000
2020,IDAHO,16,WHEAT, ACRES PLANTED,ACRE,1240000
2020,IDAHO,16,WHEAT, YIELD, MEASURED IN BU / ACRE,96.7
2020,ILLINOIS,17,WHEAT, ACRES HARVESTED,ACRE,520000
2020,ILLINOIS,17,WHEAT, ACRES PLANTED,ACRE,570000
2020,ILLINOIS,17,WHEAT, YIELD, MEASURED IN BU / ACRE,68
2020,INDIANA,18,WHEAT, ACRES HARVESTED,ACRE,250000
2020,INDIANA,18,WHEAT, ACRES PLANTED,ACRE,300000
2020,INDIANA,18,WHEAT, YIELD, MEASURED IN BU / ACRE,70
2020,KANSAS,20,WHEAT, ACRES HARVESTED,ACRE,6250000
2020,KANSAS,20,WHEAT, ACRES PLANTED,ACRE,6600000
2020,KANSAS,20,WHEAT, YIELD, MEASURED IN BU / ACRE,45
2020,KENTUCKY,21,WHEAT, ACRES HARVESTED,ACRE,340000
2020,KENTUCKY,21,WHEAT, ACRES PLANTED,ACRE,510000
2020,KENTUCKY,21,WHEAT, YIELD, MEASURED IN BU / ACRE,63
2020,MARYLAND,24,WHEAT, ACRES HARVESTED,ACRE,150000
2020,MARYLAND,24,WHEAT, ACRES PLANTED,ACRE,355000
2020,MARYLAND,24,WHEAT, YIELD, MEASURED IN BU / ACRE,73
2020,MICHIGAN,26,WHEAT, ACRES HARVESTED,ACRE,450000
2020,MICHIGAN,26,WHEAT, ACRES PLANTED,ACRE,490000
2020,MICHIGAN,26,WHEAT, YIELD, MEASURED IN BU / ACRE,75
2020,MINNESOTA,27,WHEAT, ACRES HARVESTED,ACRE,1360000
2020,MINNESOTA,27,WHEAT, ACRES PLANTED,ACRE,1430000
2020,MINNESOTA,27,WHEAT, YIELD, MEASURED IN BU / ACRE,53
2020,MISSISSIPPI,28,WHEAT, ACRES HARVESTED,ACRE,20000
2020,MISSISSIPPI,28,WHEAT, ACRES PLANTED,ACRE,40000
2020,MISSISSIPPI,28,WHEAT, YIELD, MEASURED IN BU / ACRE,48
2020,MISSOURI,29,WHEAT, ACRES HARVESTED,ACRE,370000
2020,MISSOURI,29,WHEAT, ACRES PLANTED,ACRE,480000
2020,MISSOURI,29,WHEAT, YIELD, MEASURED IN BU / ACRE,62
2020,MONTANA,30,WHEAT, ACRES HARVESTED,ACRE,5490000
2020,MONTANA,30,WHEAT, ACRES PLANTED,ACRE,5595000
2020,MONTANA,30,WHEAT, YIELD, MEASURED IN BU / ACRE,41.7
2020,NEBRASKA,31,WHEAT, ACRES HARVESTED,ACRE,830000
2020,NEBRASKA,31,WHEAT, ACRES PLANTED,ACRE,900000
2020,NEBRASKA,31,WHEAT, YIELD, MEASURED IN BU / ACRE,41
2020,NEW JERSEY,34,WHEAT, ACRES HARVESTED,ACRE,18000
2020,NEW JERSEY,34,WHEAT, ACRES PLANTED,ACRE,25000
2020,NEW JERSEY,34,WHEAT, YIELD, MEASURED IN BU / ACRE,67
2020,NEW MEXICO,35,WHEAT, ACRES HARVESTED,ACRE,115000
2020,NEW MEXICO,35,WHEAT, ACRES PLANTED,ACRE,335000
2020,NEW MEXICO,35,WHEAT, YIELD, MEASURED IN BU / ACRE,28
2020,NEW YORK,36,WHEAT, ACRES HARVESTED,ACRE,120000
2020,NEW YORK,36,WHEAT, ACRES PLANTED,ACRE,150000
2020,NEW YORK,36,WHEAT, YIELD, MEASURED IN BU / ACRE,66
2020,NORTH CAROLINA,37,WHEAT, ACRES HARVESTED,ACRE,350000
2020,NORTH CAROLINA,37,WHEAT, ACRES PLANTED,ACRE,450000
2020,NORTH CAROLINA,37,WHEAT, YIELD, MEASURED IN BU / ACRE,60
2020,NORTH DAKOTA,38,WHEAT, ACRES HARVESTED,ACRE,6563000
2020,NORTH DAKOTA,38,WHEAT, ACRES PLANTED,ACRE,6650000
2020,NORTH DAKOTA,38,WHEAT, YIELD, MEASURED IN BU / ACRE,47.6
2020,OHIO,39,WHEAT, ACRES HARVESTED,ACRE,490000
2020,OHIO,39,WHEAT, ACRES PLANTED,ACRE,530000
2020,OHIO,39,WHEAT, YIELD, MEASURED IN BU / ACRE,71
2020,OKLAHOMA,40,WHEAT, ACRES HARVESTED,ACRE,2600000
2020,OKLAHOMA,40,WHEAT, ACRES PLANTED,ACRE,4250000
2020,OKLAHOMA,40,WHEAT, YIELD, MEASURED IN BU / ACRE,40
2020,OREGON,41,WHEAT, ACRES HARVESTED,ACRE,725000
2020,OREGON,41,WHEAT, ACRES PLANTED,ACRE,740000
2020,OREGON,41,WHEAT, YIELD, MEASURED IN BU / ACRE,64
2020,PENNSYLVANIA,42,WHEAT, ACRES HARVESTED,ACRE,190000
